[  319812ms] [ERROR] [HotReload] Connection closed by the server, attempting to reconnect... @ http://127.0.0.1:9781/cdn/shopifycloud/theme-hot-reload/theme-hot-reload.js:304
[  319812ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:9781/:0
[  322814ms] [ERROR] [HotReload] Connection closed by the server, attempting to reconnect... @ http://127.0.0.1:9781/cdn/shopifycloud/theme-hot-reload/theme-hot-reload.js:304
[  322814ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:9781/:0
[  325815ms] [ERROR] [HotReload] Connection closed by the server, attempting to reconnect... @ http://127.0.0.1:9781/cdn/shopifycloud/theme-hot-reload/theme-hot-reload.js:304
[  325815ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:9781/:0
[  328817ms] [ERROR] [HotReload] Connection closed by the server, attempting to reconnect... @ http://127.0.0.1:9781/cdn/shopifycloud/theme-hot-reload/theme-hot-reload.js:304
[  328817ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:9781/:0
[  331820ms] [ERROR] [HotReload] Connection closed by the server, attempting to reconnect... @ http://127.0.0.1:9781/cdn/shopifycloud/theme-hot-reload/theme-hot-reload.js:304
[  331820ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:9781/:0
[  334823ms] [ERROR] [HotReload] Connection closed by the server, attempting to reconnect... @ http://127.0.0.1:9781/cdn/shopifycloud/theme-hot-reload/theme-hot-reload.js:304
[  334823ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:9781/:0
[  337826ms] [ERROR] [HotReload] Connection closed by the server, attempting to reconnect... @ http://127.0.0.1:9781/cdn/shopifycloud/theme-hot-reload/theme-hot-reload.js:304
[  337826ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:9781/:0
[  340831ms] [ERROR] [HotReload] Connection closed by the server, attempting to reconnect... @ http://127.0.0.1:9781/cdn/shopifycloud/theme-hot-reload/theme-hot-reload.js:304
[  340831ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:9781/:0
[  343835ms] [ERROR] [HotReload] Connection closed by the server, attempting to reconnect... @ http://127.0.0.1:9781/cdn/shopifycloud/theme-hot-reload/theme-hot-reload.js:304
[  343835ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:9781/:0
[  346839ms] [ERROR] [HotReload] Connection closed by the server, attempting to reconnect... @ http://127.0.0.1:9781/cdn/shopifycloud/theme-hot-reload/theme-hot-reload.js:304
[  346839ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:9781/:0
[  349843ms] [ERROR] [HotReload] Connection closed by the server, attempting to reconnect... @ http://127.0.0.1:9781/cdn/shopifycloud/theme-hot-reload/theme-hot-reload.js:304
[  349844ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:9781/:0
[  352846ms] [ERROR] [HotReload] Connection closed by the server, attempting to reconnect... @ http://127.0.0.1:9781/cdn/shopifycloud/theme-hot-reload/theme-hot-reload.js:304
[  352846ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:9781/:0
[  355851ms] [ERROR] [HotReload] Connection closed by the server, attempting to reconnect... @ http://127.0.0.1:9781/cdn/shopifycloud/theme-hot-reload/theme-hot-reload.js:304
[  355851ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:9781/:0
[  358855ms] [ERROR] [HotReload] Connection closed by the server, attempting to reconnect... @ http://127.0.0.1:9781/cdn/shopifycloud/theme-hot-reload/theme-hot-reload.js:304
[  358855ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:9781/:0
[  361859ms] [ERROR] [HotReload] Connection closed by the server, attempting to reconnect... @ http://127.0.0.1:9781/cdn/shopifycloud/theme-hot-reload/theme-hot-reload.js:304
[  361859ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:9781/:0
[  364864ms] [ERROR] [HotReload] Connection closed by the server, attempting to reconnect... @ http://127.0.0.1:9781/cdn/shopifycloud/theme-hot-reload/theme-hot-reload.js:304
[  364864ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:9781/:0
[  367867ms] [ERROR] [HotReload] Connection closed by the server, attempting to reconnect... @ http://127.0.0.1:9781/cdn/shopifycloud/theme-hot-reload/theme-hot-reload.js:304
[  367867ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:9781/:0
[  370870ms] [ERROR] [HotReload] Connection closed by the server, attempting to reconnect... @ http://127.0.0.1:9781/cdn/shopifycloud/theme-hot-reload/theme-hot-reload.js:304
[  370870ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:9781/:0
[  373873ms] [ERROR] [HotReload] Connection closed by the server, attempting to reconnect... @ http://127.0.0.1:9781/cdn/shopifycloud/theme-hot-reload/theme-hot-reload.js:304
[  373873ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:9781/:0
[  376876ms] [ERROR] [HotReload] Connection closed by the server, attempting to reconnect... @ http://127.0.0.1:9781/cdn/shopifycloud/theme-hot-reload/theme-hot-reload.js:304
[  376876ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:9781/:0
[  379880ms] [ERROR] [HotReload] Connection closed by the server, attempting to reconnect... @ http://127.0.0.1:9781/cdn/shopifycloud/theme-hot-reload/theme-hot-reload.js:304
[  379880ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:9781/:0
[  382884ms] [ERROR] [HotReload] Connection closed by the server, attempting to reconnect... @ http://127.0.0.1:9781/cdn/shopifycloud/theme-hot-reload/theme-hot-reload.js:304
[  382884ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:9781/:0
[  385888ms] [ERROR] [HotReload] Connection closed by the server, attempting to reconnect... @ http://127.0.0.1:9781/cdn/shopifycloud/theme-hot-reload/theme-hot-reload.js:304
[  385889ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:9781/:0
